ID	X (L93)	Y (L93)	nom_commune	insee_comm	m_source	type	statut	caracterise	commentaire	photo	date	amphibien	reptile	odonate	invertebre aquatique	faune_autre	poisson	anatide	faune_aucun	type_de_mare	evolution	abreuvoir_amenage	abreuvoir_non_amenage	collecte_ruissellement	peche	chasse	reserve_incendie	ornemental	biodiversite	patrimoine	pedagogique	abandonne	lagunage	usage_inconnu	pompe_a_nez	dechets	topo	contexte_1	contexte_2	petit_patrimoine_bati	cloture	haie	forme	Longueur	largeur	profondeur	nature_fond	berges	bourrelet	pietinement	regime	liaison_reseau	alim_specifique	turbidite	helophytes	hydrophytes_enracines	hydrophytes_non_enracines	algues	eau_libre	fond_exonde	boisement	ombrage	presence_faune_exotique	presence_flore_exotique	travaux_aucun 	curage	profilage_berge	bucheronnage	debroussaillage	pose_de_cloture	abreuvoir	lutte_contre_EEE	nettoyage_dechets	arrachage	fonctionnement_hydraulique	fauchage tardif	travaux_autre	objectifs_des_travaux
76377_1049	1566017	8257466	ISNEAUVILLE	76377	BDORTHO_2009	bassin	public	oui	ecologie_non_observee_sur_une_mare_precise	76377_1049_im1/76377_1049_im2	28_10_2017	non	non	non	non	non	non	non	oui	de_village_de_ferme_de_parc_de_jardin	2	non	non	non	non	non	non	non	non	non	non	non	non	oui	non	aucun	versant	indetermine	NC	aucun	totalement	non	triangle	NC	NC	NC	inconnu	100	non	faible_a_nul	mare_permanente	autre	autre	trouble	45	NC	NC	NC	NC	NC	0	0	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
76377_1050	1566812	8257442	ISNEAUVILLE	76377	BDORTHO_2009	mare	public	oui	NC	76377_1050_im1/76377_1050_im2/76377_1050_im3	01_11_2017	non	non	non	non	non	non	non	oui	de_village_de_ferme_de_parc_de_jardin	1	non	non	non	non	non	non	oui	non	non	non	non	non	non	non	dechets_verts_ordures_menageres	plateau	jardin_parc_cour_de_ferme	NC	aucun	non	non	ronde_ovale	15	15	101	naturel	12,5	non	faible_a_nul	mare_permanente	axe_de_ruissellement	autre	trouble	5	0	0	0	0	95	32,5	62,5	non	non	non	non	non	non	non	non	non	non	oui	non	non	non	non	NC
76377_1056	1566333	8257576	ISNEAUVILLE	76377	M1_ESEB	bassin	public	oui	mare_seche	76377_1056_im1/76377_1056_im2/76377_1056_im3	28_10_2017	non	non	non	non	non	non	non	oui	de_village_de_ferme_de_parc_de_jardin	1	non	non	non	non	non	non	non	non	non	non	non	non	oui	non	aucun	plateau	indetermine	NC	aucun	non	NC	patatoide	21	6	0	naturel	62,5	non	faible_a_nul	mare_temporaire	autre	pluvial_bati	NC	NC	NC	NC	NC	NC	NC	0	0	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
76377_1057	1566246	8257405	ISNEAUVILLE	76377	M1_ESEB	bassin	public	oui	mare_comblee	76377_1057_im1/76377_1057_im2/76377_1057_im3/76377_1057_im4/76377_1057_im5	28_10_2017	non	non	non	non	non	non	non	oui	de_village_de_ferme_de_parc_de_jardin	4	non	non	non	non	non	non	non	non	non	non	non	non	oui	non	aucun	plateau	indetermine	NC	aucun	non	non	ronde_ovale	28	84	15	naturel	12,5	non	faible_a_nul	mare_permanente	aucun	aucune	trouble	98	0	2	0	0	0	12,5	0	non	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
76377_1058	1565051,668	8256261,002	ISNEAUVILLE	76377	GLERE_Guillaume	mare	public	oui	marque_d_une_mare_avec_niveau_plus_elevee	76377_1058_im1/76377_1058_im2/76377_1058_im3	01_11_2017	non	non	non	non	oui	non	non	oui	bassin_routier_ou_de_decantation	2	non	non	oui	non	non	non	non	non	non	non	non	non	non	non	dechets_verts	plateau	culture	annexe_routiere_ferroviere	aucun	non	NC	ronde_ovale	20	15	80	naturel	62,5	non	faible_a_nul	mare_permanente	autre	aucune	limpide	30	5	15	0	50	0	0	0	NC	NC	oui	non	non	non	non	non	non	non	non	non	non	non	non	NC
76377_1059	1565490,502	8256640,352	ISNEAUVILLE	76377	GLERE_Guillaume	mare	public	oui	prelevement_eau_impossible	76377_1059_im1/76377_1059_im2/76377_1059_im3	01_11_2017	non	non	non	non	non	non	non	oui	de_village_de_ferme_de_parc_de_jardin	2	non	non	non	non	non	non	oui	non	non	non	non	non	non	non	dechets_recyclables	plateau	jardin_parc_cour_de_ferme	NC	aucun	totalement	non	triangle	40	20	NC	inconnu	62,5	non	faible_a_nul	mare_permanente	aucun	autre	limpide	0	15	0	0	75	0	12,5	12,5	NC	NC	non	non	non	non	non	non	non	non	oui	non	non	non	non	NC
76391_0593	1548871	8237581	LA LONDE	76391	SCAN25_2011	mare	prive	oui	curage_depose_sur_les_bord_pellicule_jaune_a_la_surface_de_l_eau	76391_0593_im1/76391_0593_im2/76391_0593_im3	28_10_2017	non	non	oui	non	non	non	non	non	de_culture	2	oui	non	non	non	non	non	non	non	non	non	non	non	non	non	aucun	plateau	culture	NC	aucun	non	NC	carre_rectangle	43	23	45	naturel	12,5	oui	localise	mare_permanente	aucun	ruissellement_culture	trouble	2	15	5	0	78	0	12,5	0	NC	NC	non	non	oui	non	non	non	non	non	non	non	non	non	non	pente_forte
76391_0609	1543663	8238937	LA LONDE	76391	ONF_2008	mare	public	oui	NC	76391_0609_im1/76391_0609_im2	28_10_2017	non	non	non	non	non	non	non	oui	de_foret	1	non	non	non	non	non	non	non	oui	oui	non	non	non	non	non	aucun	autre	bois_de_feuillus	NC	aucun	non	non	carre_rectangle	170	40	101	naturel	12,5	non	faible_a_nul	mare_permanente	aucun	nappe	limpide	0	0	0	0	100	0	62,5	12,5	NC	NC	oui	non	non	non	non	non	non	non	non	non	non	non	non	NC
76391_0610	1543983	8238793	LA LONDE	76391	ONF_2008	mare	public	oui	NC	76391_0610_im1/76391_0610_im2	28_10_2017	non	non	non	oui	non	non	non	non	de_foret	1	non	non	non	non	non	non	non	oui	oui	non	non	non	non	non	aucun	plateau	bois_de_feuillus	NC	aucun	non	non	ronde_ovale	150	75	101	naturel	12,5	non	faible_a_nul	mare_permanente	aucun	nappe	limpide	2	0	0	0	98	0	62,5	12,5	NC	NC	non	oui	non	non	non	non	non	non	non	non	non	non	non	retirer_bois_mort
76391_0615	1546185	8239679	LA LONDE	76391	ONF_2008	mare	public	oui	mare_heterogene	76391_0615_im1/76391_0615_im2/76391_0615_im3	28_10_2017	non	non	non	non	non	non	non	oui	de_foret	3	non	non	non	non	non	non	non	oui	non	non	non	non	non	non	aucun	autre	bois_de_feuillus	NC	aucun	non	non	patatoide	55	32	45	inconnu	32,5	non	localise	mare_permanente	fosse_noue	aucune	trouble	60	5	0	0	10	25	12,5	12,5	NC	NC	non	oui	non	non	non	non	non	non	non	non	non	non	non	NC
